URL_LENGTH,TLD,STATE,REGDATE,ZIPCODE,CITY,CONTENT_ENCODING,CONTENT_TYPE,CLASS
67,4,0,1,0,0,1,2,1
40,1,1,0,0,0,0,1,1
39,1,0,0,0,0,1,1,1
48,1,0,0,0,0,1,1,1
93,4,1,0,1,1,1,2,1
93,4,1,0,1,1,1,2,1
38,1,1,0,1,1,0,3,1
41,4,0,0,1,1,0,1,1
48,1,0,0,0,0,1,1,1
103,4,1,0,1,1,1,2,1
104,4,1,0,1,1,1,2,1
38,4,1,0,0,0,0,3,1
81,1,1,0,0,0,1,1,1
70,1,0,0,0,0,1,1,1
59,1,0,0,0,0,1,1,1
46,1,1,0,0,0,0,2,1
51,1,1,0,0,0,0,2,1
44,1,1,0,0,0,0,2,1
32,1,1,0,1,1,0,3,1
45,1,1,0,0,0,0,2,1
44,1,1,0,0,0,0,2,1
45,1,1,0,0,0,0,2,1
57,4,0,0,0,0,0,1,1
17,4,0,1,1,1,1,1,1
36,4,0,1,0,0,1,1,1
73,1,1,0,0,0,1,2,1
74,1,1,0,0,0,1,2,1
73,1,1,0,0,0,1,2,1
74,1,1,0,0,0,1,2,1
41,4,0,1,0,0,1,1,1
37,1,1,0,0,0,1,2,1
44,1,0,1,1,1,1,1,1
71,4,0,1,1,1,0,1,1
71,4,0,1,1,1,0,1,1
39,4,0,1,0,0,1,1,1
34,4,0,0,0,0,0,3,1
17,4,0,1,1,1,1,1,1
73,1,1,0,0,0,1,1,1
50,1,1,0,0,0,0,3,1
50,1,1,0,0,0,0,3,1
74,1,1,0,0,0,1,2,1
44,1,1,1,0,0,1,1,1
61,4,0,1,0,0,1,1,1
21,4,1,0,1,1,1,2,1
69,1,1,0,1,1,0,3,1
47,1,1,0,0,0,0,2,1
48,1,1,0,0,0,1,1,1
65,1,1,0,0,0,1,2,1
59,1,1,0,1,1,1,1,1
50,1,1,0,0,0,0,2,1
21,4,1,0,1,1,1,2,1
46,1,1,1,1,1,1,1,1
39,1,1,0,1,1,0,3,1
62,1,1,0,0,0,0,3,1
62,1,1,0,0,0,0,3,1
106,4,0,0,0,0,0,3,1
61,1,1,0,0,0,0,3,1
24,2,1,1,0,0,0,3,1
23,2,1,1,0,0,0,3,1
44,1,1,0,0,0,1,1,1
58,4,0,0,1,1,0,3,1
21,4,1,0,1,1,1,2,1
45,1,1,1,0,0,1,2,1
43,1,1,1,0,0,1,2,1
46,1,1,0,0,0,0,3,1
38,4,0,1,0,0,1,1,1
55,1,1,0,0,0,0,2,1
54,1,1,0,0,0,0,2,1
47,1,1,0,0,0,0,2,1
47,1,1,0,0,0,0,2,1
46,1,1,0,0,0,0,2,1
89,4,0,0,0,0,0,3,1
50,4,0,0,1,1,1,3,1
50,4,0,0,1,1,1,3,1
38,1,1,0,1,1,0,3,1
47,1,1,0,1,1,0,3,1
66,1,1,0,0,0,0,3,1
31,1,1,0,0,0,1,1,1
34,1,1,0,1,1,0,6,1
42,1,1,0,0,0,0,2,1
49,1,1,0,0,0,1,2,1
39,1,1,0,0,0,1,2,1
40,1,1,0,0,0,0,1,1
40,1,1,0,0,0,1,2,1
32,1,1,0,0,0,1,3,1
21,4,1,0,0,0,0,1,1
38,1,1,0,0,0,0,2,1
60,1,0,0,0,0,1,1,1
47,1,1,0,0,0,0,2,1
43,1,1,0,0,0,1,1,1
45,1,1,0,0,0,0,2,1
67,1,1,0,0,0,0,3,1
66,1,1,0,0,0,0,3,1
67,1,1,0,0,0,0,3,1
45,1,1,0,0,0,0,2,1
